11:32:45 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 36ms
11:32:47 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 33ms
11:32:59 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 28ms
11:34:03 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 179ms
11:34:03 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 43ms
11:34:03 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 68ms
11:34:03 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 35ms
11:34:03 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 49ms
11:34:03 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 92ms
11:34:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 181ms
11:34:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 32ms
11:34:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 79ms
11:34:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 35ms
11:34:24 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 41ms
11:34:24 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 34ms
11:34:25 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 30ms
11:37:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 187ms
11:37:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 35ms
11:37:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 83ms
11:37:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 44ms
11:37:28 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 42ms
11:37:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 52ms
11:37:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 17ms
11:39:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 184ms
11:39:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 53ms
11:39:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 84ms
11:39:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 54ms
11:39:28 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 38ms
11:39:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 32ms
11:39:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 110ms
11:48:54 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 263ms
11:48:56 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 36ms
11:48:56 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 30ms
11:48:56 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 98ms
11:48:56 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 88ms
11:48:56 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 142ms
11:49:18 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 208ms
11:49:18 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 31ms
