17:21:09 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetTodayTotalAsync (API) in 7035ms
17:43:15 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 1442ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetWeChatDetailAsync (API) in 770ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayWeChatScaleAsync (API) in 80ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetLastDayWeChatPayCountAsync (API) in 849ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetTrendAsync (API) in 35ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetTodayTotalAsync (API) in 352ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetMonthDetailAsync (API) in 909ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayAchievementAsync (API) in 134ms
17:43:17 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayWeChatDetailAsync (API) in 1060ms
17:43:17 INFO  - Executed action GD.API.Controllers.Utility.WeatherController.GetWeatherForecast (API) in 189ms
17:43:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 286ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetTodayTotalAsync (API) in 73ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayWeChatScaleAsync (API) in 95ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetWeChatDetailAsync (API) in 161ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetLastDayWeChatPayCountAsync (API) in 48ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayWeChatDetailAsync (API) in 54ms
17:43:34 INFO  - Executed action GD.API.Controllers.Utility.WeatherController.GetWeatherForecast (API) in 160ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetDayAchievementAsync (API) in 134ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetTrendAsync (API) in 46ms
17:43:34 INFO  - Executed action GD.API.Controllers.DataBoard.DataBoardController.GetMonthDetailAsync (API) in 282ms
17:46:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 182ms
17:46:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 208ms
17:46:44 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 59ms
17:46:44 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 59ms
17:46:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 352ms
17:46:49 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 110ms
17:46:50 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 158ms
17:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 236ms
17:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 151ms
17:47:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 391ms
17:47:03 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 58ms
17:47:03 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 67ms
17:47:03 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 345ms
17:47:04 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 378ms
17:47:41 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 292ms
17:47:42 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 93ms
17:47:42 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 127ms
17:47:42 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 49ms
17:47:42 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 61ms
